# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2018-07-05'
# mapping_provider: https://ncit.nci.nih.gov/ncitbrowser/ajax?action=export_maps_to_mapping&target=ICD10%202016
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/ncit_icd10_2017.sssom.tsv
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label	confidence
NCI:C9305	skos:relatedMatch	ICD10:C80.9	Unspecified	Malignant neoplasm, unspecified	0.8
NCI:C3161	skos:relatedMatch	ICD10:C94.7	Unspecified	Other specified leukaemias	0.8
NCI:C3172	skos:relatedMatch	ICD10:C92.7	Unspecified	Other myeloid leukaemia	0.8
NCI:C3247	skos:relatedMatch	ICD10:D46.7	Unspecified	Other myelodysplastic syndromes	0.8
NCI:C4763	skos:exactMatch	ICD10:C15.0	Unspecified	Malignant neoplasm: Cervical part of oesophagus	0.8
NCI:C84509	skos:relatedMatch	ICD10:C97	Unspecified	Malignant neoplasms of independent (primary) multiple sites	0.8
NCI:C35470	skos:relatedMatch	ICD10:Z64.2	Unspecified	Seeking and accepting physical, nutritional and chemical interventions known to be hazardous and harmful	0.8
NCI:C34340	skos:relatedMatch	ICD10:V99	Unspecified	Unspecified transport accident	0.8
NCI:C36987	skos:relatedMatch	ICD10:R72	Unspecified	Abnormality of white blood cells, not elsewhere classified	0.8
NCI:C95071	skos:relatedMatch	ICD10:Z91.3	Unspecified	Personal history of unhealthy sleep-wake schedule	0.8

