# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_exactmatch_icd10cm.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-03-16/mappings/mondo_exactmatch_icd10cm.sssom.tsv
# object_source: https://www.icd10data.com/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label	confidence
MONDO:0000309	skos:exactMatch	ICD10CM:H52.32	HumanCurated	aniseikonia	0.8
MONDO:0002959	skos:exactMatch	ICD10CM:M54.1	HumanCurated	radiculopathy	0.8
MONDO:0024318	skos:exactMatch	ICD10CM:A80-A89	HumanCurated	viral infection of central nervous system	0.8
MONDO:0024311	skos:exactMatch	ICD10CM:C40	HumanCurated	cancer affecting bone of limb skeleton	0.8
MONDO:0024312	skos:exactMatch	ICD10CM:C40.1	HumanCurated	cancer of short bone of upper limb	0.8
MONDO:0024317	skos:exactMatch	ICD10CM:G89.4	HumanCurated	chronic pain syndrome	0.8
MONDO:0000367	skos:exactMatch	ICD10CM:B68	HumanCurated	taeniasis	0.8
MONDO:0024302	skos:exactMatch	ICD10CM:B83.4	HumanCurated	internal hirudiniasis	0.8
MONDO:0024303	skos:exactMatch	ICD10CM:B88.3	HumanCurated	external hirudiniasis	0.8
MONDO:0000342	skos:exactMatch	ICD10CM:A92.1	HumanCurated	O'nyong'nyong fever	0.8
MONDO:0002922	skos:exactMatch	ICD10CM:L08.0	HumanCurated	pyoderma	0.8
MONDO:0024361	skos:exactMatch	ICD10CM:G47.2	HumanCurated	circadian rhythm sleep disorder	0.8
MONDO:0024356	skos:exactMatch	ICD10CM:G47.31	HumanCurated	primary central sleep apnea syndrome	0.8
MONDO:0024382	skos:exactMatch	ICD10CM:G47.26	HumanCurated	circadian rhythm sleep disorder, shift work type	0.8
MONDO:0024381	skos:exactMatch	ICD10CM:G47.25	HumanCurated	circadian rhythm sleep disorder, jet lag type	0.8
MONDO:0024377	skos:exactMatch	ICD10CM:G47.21	HumanCurated	circadian rhythm sleep disorder, delayed sleep phase type	0.8
MONDO:0024379	skos:exactMatch	ICD10CM:G47.23	HumanCurated	circadian rhythm sleep disorder, irregular sleep wake type	0.8
MONDO:0024378	skos:exactMatch	ICD10CM:G47.22	HumanCurated	circadian rhythm sleep disorder, advanced sleep phase type	0.8
MONDO:0002898	skos:exactMatch	ICD10CM:C43-C44	HumanCurated	skin cancer	0.8
MONDO:0000237	skos:exactMatch	ICD10CM:A26	HumanCurated	erysipeloid	0.8
MONDO:0000245	skos:exactMatch	ICD10CM:B35.5	HumanCurated	tinea imbricata	0.8
MONDO:0000226	skos:exactMatch	ICD10CM:E83	HumanCurated	mineral metabolism disease	0.8
MONDO:0002885	skos:exactMatch	ICD10CM:L08.1	HumanCurated	erythrasma	0.8
MONDO:0002800	skos:exactMatch	ICD10CM:I80.0	HumanCurated	thrombophlebitis	0.8
MONDO:0024297	skos:exactMatch	ICD10CM:E00-E90	HumanCurated	obsolete nutritional or metabolic disease	0.8
MONDO:0000261	skos:exactMatch	ICD10CM:J35.02	HumanCurated	adenoiditis	0.8
MONDO:0002776	skos:exactMatch	ICD10CM:H60-H62	HumanCurated	external ear disorder	0.8
MONDO:0012105	skos:exactMatch	ICD10CM:M31.3	HumanCurated	granulomatosis with polyangiitis	0.8
MONDO:0002754	skos:exactMatch	ICD10CM:C90.2	HumanCurated	extramedullary plasmacytoma	0.8
MONDO:0012197	skos:exactMatch	ICD10CM:D61.3	HumanCurated	idiopathic aplastic anemia	0.8
MONDO:0012155	skos:exactMatch	ICD10CM:Q30.0	HumanCurated	choanal atresia	0.8
MONDO:0002613	skos:exactMatch	ICD10CM:F60.4	HumanCurated	histrionic personality disorder	0.8
MONDO:0002660	skos:exactMatch	ICD10CM:H02.3	HumanCurated	blepharochalasis	0.8
MONDO:0000088	skos:exactMatch	ICD10CM:E30.1	HumanCurated	precocious puberty	0.8
MONDO:0002516	skos:exactMatch	ICD10CM:C15-C26	HumanCurated	digestive system cancer	0.8
MONDO:0002552	skos:exactMatch	ICD10CM:G95.1	HumanCurated	vascular myelopathy	0.8
MONDO:0002562	skos:exactMatch	ICD10CM:G35-G37	HumanCurated	demyelinating disease	0.8
MONDO:0002594	skos:exactMatch	ICD10CM:B04	HumanCurated	monkeypox	0.8
MONDO:0002413	skos:exactMatch	ICD10CM:E74.01	HumanCurated	glycogen storage disease I	0.8
MONDO:0002410	skos:exactMatch	ICD10CM:N28.85	HumanCurated	pyeloureteritis cystica	0.8
MONDO:0002411	skos:exactMatch	ICD10CM:F60.81	HumanCurated	narcissistic personality disorder	0.8
MONDO:0002412	skos:exactMatch	ICD10CM:E74.0	HumanCurated	glycogen storage disease	0.8
MONDO:0002425	skos:exactMatch	ICD10CM:C19	HumanCurated	rectosigmoid junction cancer	0.8
MONDO:0002419	skos:exactMatch	ICD10CM:F95.0	HumanCurated	transient tic disorder	0.8
MONDO:0002467	skos:exactMatch	ICD10CM:H80-H83	HumanCurated	inner ear disorder	0.8
MONDO:0002442	skos:exactMatch	ICD10CM:I45.81	HumanCurated	long QT syndrome	0.8
