# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hasdbxref_icd10cm.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-03-15/mappings/mondo_hasdbxref_icd10cm.sssom.tsv
# object_source: https://www.icd10data.com/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label	confidence
MONDO:0002974	oboInOwl:hasDbXref	ICD10CM:C53	HumanCurated	cervical cancer	0.8
MONDO:0002974	oboInOwl:hasDbXref	ICD10CM:C53.9	HumanCurated	cervical cancer	0.8
MONDO:0002972	oboInOwl:hasDbXref	ICD10CM:C38.2	HumanCurated	posterior mediastinum cancer	0.8
MONDO:0012301	oboInOwl:hasDbXref	ICD10CM:G71.3	HumanCurated	mitochondrial DNA depletion syndrome, myopathic form	0.8
MONDO:0002969	oboInOwl:hasDbXref	ICD10CM:C69.4	HumanCurated	ciliary body cancer	0.8
MONDO:0000309	oboInOwl:hasDbXref	ICD10CM:H52.32	HumanCurated	aniseikonia	0.8
MONDO:0002965	oboInOwl:hasDbXref	ICD10CM:Q50.4	HumanCurated	parovarian cyst	0.8
MONDO:0002965	oboInOwl:hasDbXref	ICD10CM:Q50.5	HumanCurated	parovarian cyst	0.8
MONDO:0002959	oboInOwl:hasDbXref	ICD10CM:M54.10	HumanCurated	radiculopathy	0.8
MONDO:0002959	oboInOwl:hasDbXref	ICD10CM:M54.1	HumanCurated	radiculopathy	0.8
MONDO:0000355	oboInOwl:hasDbXref	ICD10CM:G71.2	HumanCurated	Ullrich congenital muscular dystrophy	0.8
MONDO:0012344	oboInOwl:hasDbXref	ICD10CM:G30	HumanCurated	Alzheimer disease 11	0.8
MONDO:0012345	oboInOwl:hasDbXref	ICD10CM:Q80.8	HumanCurated	acral peeling skin syndrome	0.8
MONDO:0024318	oboInOwl:hasDbXref	ICD10CM:A80-A89	HumanCurated	viral infection of central nervous system	0.8
MONDO:0024311	oboInOwl:hasDbXref	ICD10CM:C40	HumanCurated	cancer affecting bone of limb skeleton	0.8
MONDO:0024312	oboInOwl:hasDbXref	ICD10CM:C40.1	HumanCurated	cancer of short bone of upper limb	0.8
MONDO:0024317	oboInOwl:hasDbXref	ICD10CM:G89.4	HumanCurated	chronic pain syndrome	0.8
MONDO:0000367	oboInOwl:hasDbXref	ICD10CM:B68	HumanCurated	taeniasis	0.8
MONDO:0000367	oboInOwl:hasDbXref	ICD10CM:B68.1	HumanCurated	taeniasis	0.8
MONDO:0012333	oboInOwl:hasDbXref	ICD10CM:H90.3	HumanCurated	autosomal recessive nonsyndromic hearing loss 53	0.8
MONDO:0012334	oboInOwl:hasDbXref	ICD10CM:G11.4	HumanCurated	hereditary spastic paraplegia 29	0.8
MONDO:0012332	oboInOwl:hasDbXref	ICD10CM:E03.1	HumanCurated	short stature-delayed bone age due to thyroid hormone metabolism deficiency	0.8
MONDO:0012335	oboInOwl:hasDbXref	ICD10CM:E66.8	HumanCurated	obesity due to pro-opiomelanocortin deficiency	0.8
MONDO:0012336	oboInOwl:hasDbXref	ICD10CM:Q12.0	HumanCurated	cataract 22 multiple types	0.8
MONDO:0024302	oboInOwl:hasDbXref	ICD10CM:B83.4	HumanCurated	internal hirudiniasis	0.8
MONDO:0000330	oboInOwl:hasDbXref	ICD10CM:A75.2	HumanCurated	endemic typhus	0.8
MONDO:0000337	oboInOwl:hasDbXref	ICD10CM:B08.20	HumanCurated	exanthema subitum	0.8
MONDO:0000337	oboInOwl:hasDbXref	ICD10CM:B08.2	HumanCurated	exanthema subitum	0.8
MONDO:0024303	oboInOwl:hasDbXref	ICD10CM:B88.3	HumanCurated	external hirudiniasis	0.8
MONDO:0024306	oboInOwl:hasDbXref	ICD10CM:E87.2	HumanCurated	acquired lactic acidosis	0.8
MONDO:0024305	oboInOwl:hasDbXref	ICD10CM:E22.1	HumanCurated	acquired hyperprolactinemia	0.8
MONDO:0012323	oboInOwl:hasDbXref	ICD10CM:Q81.0	HumanCurated	lethal acantholytic epidermolysis bullosa	0.8
MONDO:0012321	oboInOwl:hasDbXref	ICD10CM:G30	HumanCurated	Alzheimer disease 10	0.8
MONDO:0012326	oboInOwl:hasDbXref	ICD10CM:H90.3	HumanCurated	autosomal recessive nonsyndromic hearing loss 42	0.8
MONDO:0012327	oboInOwl:hasDbXref	ICD10CM:H90.3	HumanCurated	autosomal recessive nonsyndromic hearing loss 46	0.8
MONDO:0012324	oboInOwl:hasDbXref	ICD10CM:Q93.5	HumanCurated	Frias syndrome	0.8
MONDO:0000327	oboInOwl:hasDbXref	ICD10CM:A31.1	HumanCurated	Buruli ulcer disease	0.8
MONDO:0000342	oboInOwl:hasDbXref	ICD10CM:A92.1	HumanCurated	O'nyong'nyong fever	0.8
MONDO:0012308	oboInOwl:hasDbXref	ICD10CM:Q61.5	HumanCurated	Joubert syndrome with renal defect	0.8
MONDO:0012308	oboInOwl:hasDbXref	ICD10CM:Q04.3	HumanCurated	Joubert syndrome with renal defect	0.8
MONDO:0012307	oboInOwl:hasDbXref	ICD10CM:Q87.0	HumanCurated	familial scaphocephaly syndrome, McGillivray type	0.8
MONDO:0012315	oboInOwl:hasDbXref	ICD10CM:Q93.5	HumanCurated	distal 10q deletion syndrome	0.8
MONDO:0002931	oboInOwl:hasDbXref	ICD10CM:H11.82	HumanCurated	conjunctivochalasis	0.8
MONDO:0002933	oboInOwl:hasDbXref	ICD10CM:Q78.2	HumanCurated	osteosclerosis	0.8
MONDO:0014920	oboInOwl:hasDbXref	ICD10CM:H35.5	HumanCurated	patterned macular dystrophy 3	0.8
MONDO:0600030	oboInOwl:hasDbXref	ICD10CM:C91.0	HumanCurated	B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	0.8
MONDO:0002929	oboInOwl:hasDbXref	ICD10CM:P28.0	HumanCurated	pulmonary immaturity	0.8
MONDO:0002940	oboInOwl:hasDbXref	ICD10CM:C44.510	HumanCurated	anal margin basal cell carcinoma	0.8
MONDO:0002909	oboInOwl:hasDbXref	ICD10CM:R73.9	HumanCurated	hyperglycemia	0.8
MONDO:0014900	oboInOwl:hasDbXref	ICD10CM:G71.0	HumanCurated	autosomal recessive limb-girdle muscular dystrophy type 2Y	0.8
MONDO:0002922	oboInOwl:hasDbXref	ICD10CM:L08.0	HumanCurated	pyoderma	0.8
MONDO:0002912	oboInOwl:hasDbXref	ICD10CM:C71.7	HumanCurated	brainstem cancer	0.8
MONDO:0002913	oboInOwl:hasDbXref	ICD10CM:C71.6	HumanCurated	cerebellar neoplasm	0.8
MONDO:0600029	oboInOwl:hasDbXref	ICD10CM:J98.4	HumanCurated	restrictive pulmonary disease	0.8
MONDO:0000390	oboInOwl:hasDbXref	ICD10CM:H35.5	HumanCurated	vitelliform macular dystrophy	0.8
MONDO:0024361	oboInOwl:hasDbXref	ICD10CM:G47.2	HumanCurated	circadian rhythm sleep disorder	0.8
MONDO:0012380	oboInOwl:hasDbXref	ICD10CM:H90.3	HumanCurated	autosomal dominant nonsyndromic hearing loss 53	0.8
MONDO:0012381	oboInOwl:hasDbXref	ICD10CM:E16.1	HumanCurated	hyperinsulinism due to INSR deficiency	0.8
MONDO:0012382	oboInOwl:hasDbXref	ICD10CM:E71.3	HumanCurated	hyperinsulinemic hypoglycemia, familial, 4	0.8
