# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_exactmatch_icd10cm.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-03-16/mappings/mondo_exactmatch_icd10cm.sssom.tsv
# object_source: https://www.icd10data.com/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label	confidence
MONDO:0000309	skos:exactMatch	ICD10CM:H52.32	HumanCurated	aniseikonia	0.99
MONDO:0002959	skos:exactMatch	ICD10CM:M54.1	HumanCurated	radiculopathy	0.99
MONDO:0024318	skos:exactMatch	ICD10CM:A80-A89	HumanCurated	viral infection of central nervous system	0.99
MONDO:0024311	skos:exactMatch	ICD10CM:C40	HumanCurated	cancer affecting bone of limb skeleton	0.99
MONDO:0024312	skos:exactMatch	ICD10CM:C40.1	HumanCurated	cancer of short bone of upper limb	0.99
MONDO:0024317	skos:exactMatch	ICD10CM:G89.4	HumanCurated	chronic pain syndrome	0.99
MONDO:0000367	skos:exactMatch	ICD10CM:B68	HumanCurated	taeniasis	0.99
MONDO:0024302	skos:exactMatch	ICD10CM:B83.4	HumanCurated	internal hirudiniasis	0.99
MONDO:0024303	skos:exactMatch	ICD10CM:B88.3	HumanCurated	external hirudiniasis	0.99
MONDO:0000342	skos:exactMatch	ICD10CM:A92.1	HumanCurated	O'nyong'nyong fever	0.99
MONDO:0002922	skos:exactMatch	ICD10CM:L08.0	HumanCurated	pyoderma	0.99
MONDO:0024361	skos:exactMatch	ICD10CM:G47.2	HumanCurated	circadian rhythm sleep disorder	0.99
MONDO:0024356	skos:exactMatch	ICD10CM:G47.31	HumanCurated	primary central sleep apnea syndrome	0.99
MONDO:0024382	skos:exactMatch	ICD10CM:G47.26	HumanCurated	circadian rhythm sleep disorder, shift work type	0.99
MONDO:0024381	skos:exactMatch	ICD10CM:G47.25	HumanCurated	circadian rhythm sleep disorder, jet lag type	0.99
MONDO:0024377	skos:exactMatch	ICD10CM:G47.21	HumanCurated	circadian rhythm sleep disorder, delayed sleep phase type	0.99
MONDO:0024379	skos:exactMatch	ICD10CM:G47.23	HumanCurated	circadian rhythm sleep disorder, irregular sleep wake type	0.99
MONDO:0024378	skos:exactMatch	ICD10CM:G47.22	HumanCurated	circadian rhythm sleep disorder, advanced sleep phase type	0.99
