# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2023-05-01'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification comment
loinc:LP7567-3	Serum	skos:exactMatch	UBERON:0001977	blood serum	sempav:HumanCuration	none
loinc:LP30270-0	Ser^Donor	skos:exactMatch	UBERON:0001977	blood serum	sempav:HumanCuration	none
loinc:LP7576-4	Ser/Plas	skos:exactMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP35604-5	serum^control	skos:exactMatch	UBERON:0001977	serum	sempav:HumanCuration	none
loinc:LP262388-4	serum^fetus	skos:exactMatch	UBERON:0001977	serum	sempav:HumanCuration	none
loinc:LP30268-4	Serum or Plasma^BPU	skos:exactMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP187191-4	Blood or Tissue^Donor	skos:exactMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP7494-0	Platelet poor plasma	skos:relatedMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP30269-2	Serum or Plasma^Donor	skos:relatedMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP7681-2	Urine	skos:exactMatch	UBERON:0001088	urine	sempav:HumanCuration	none
loinc:LP7690-3	Urine sediment	skos:exactMatch	UBERON:0001088	urine	sempav:HumanCuration	none
LP281836-9	Urine^Fetus	skos:exactMatch	UBERON:0001088	urine	sempav:HumanCuration	none
loinc:LP7057-5	Bld	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP21304-8	Bld.dot	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP183539-8	Positive blood culture	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP31684-1	blood capillary^fetus	skos:exactMatch	UBERON:0001982	blood capillary	sempav:HumanCuration	none
loinc:LP29829-6	blood^bpu	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP29294-3	blood^control	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP29830-4	blood^donor	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP281790-8	blood^patient	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP7156-5	CSF	skos:exactMatch	UBERON:0001359	cerebrospinal fluid	sempav:HumanCuration	none
loinc:LP7238-1	Body fld	skos:exactMatch	UBERON:0006314	bodily fluid	sempav:HumanCuration	none
loinc:LP7641-6	Tiss	skos:exactMatch	UBERON:0000479	tissue	sempav:HumanCuration	none
loinc:LP7479-1	Plas	skos:exactMatch	UBERON:0001969	blood plasma	sempav:HumanCuration	none
loinc:LP7604-4	Stool	skos:exactMatch	UBERON:0001988	feces	sempav:HumanCuration	none
loinc:LP7565-7	Saliva	skos:exactMatch	UBERON:0001836	saliva	sempav:HumanCuration	none
loinc:LP7600-2	Sputum	skos:exactMatch	UBERON:0007311	sputum	sempav:HumanCuration	none
loinc:LP7000-5	Amniotic fluid	skos:exactMatch	UBERON:0000173	amniotic fluid	sempav:HumanCuration	none
loinc:LP7255-5	Gastric fluid	skos:relatedMatch	UBERON:0000174	excreta	sempav:HumanCuration	none
loinc:LP7280-3	Hair	skos:exactMatch	UBERON:0001037	strand of hair	sempav:HumanCuration	none
loinc:LP7592-1	Synovial fluid	skos:exactMatch	UBERON:0001090	synovial fluid	sempav:HumanCuration	none
loinc:LP7413-0	Meconium	skos:exactMatch	UBERON:0007109	meconium	sempav:HumanCuration	none
loinc:LP7592-1	Synovial fluid	skos:exactMatch	UBERON:0001090	synovial fluid	sempav:HumanCuration	none
loinc:LP7486-6	Pleural fluid	skos:exactMatch	UBERON:0001087	pleural fluid	sempav:HumanCuration	none
loinc:LP201886-1	Lower respiratory specimen	skos:exactMatch	UBERON:0001558	lower respiratory tract	sempav:HumanCuration	none
loinc:LP208441-8	Upper respiratory specimen	skos:exactMatch	UBERON:0001557	upper respiratory tract	sempav:HumanCuration	none
loinc:LP208442-6	Respiratory specimen	skos:exactMatch	UBERON:0000065	respiratory tract	sempav:HumanCuration	none
loinc:LP7507-9	Peritoneal fluid	skos:exactMatch	UBERON:0001268	peritoneal fluid	sempav:HumanCuration	none
loinc:LP7589-7	Semen	skos:exactMatch	UBERON:0001968	semen	sempav:HumanCuration	none
loinc:LP7410-6	Bone marrow	skos:exactMatch	UBERON:0002371	bone marrow	sempav:HumanCuration	none
loinc:LP426511-4	Umbilical cord	skos:exactMatch	UBERON:0002331	umbilical cord	sempav:HumanCuration	none
loinc:LP30875-6	Nasopharynx	skos:exactMatch	UBERON:0001728	nasopharynx	sempav:HumanCuration	none
loinc:LP7579-8	Serum, Plasma or Blood	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP7271-2	Vaginal	skos:exactMatch	UBERON:0000996	vagina	sempav:HumanCuration	none
loinc:LP7633-3	Throat	skos:exactMatch	UBERON:0000341	throat	sempav:HumanCuration	none
loinc:LP7715-8	Vitreous fluid	skos:exactMatch	UBERON:0001797	vitreous humor	sempav:HumanCuration	none
loinc:LP7261-3	Genital	skos:exactMatch	UBERON:0000990	genitalia	sempav:HumanCuration	none
