# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/
#   PR: http://purl.obolibrary.org/obo/PR_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_id: http://w3id.org/mapping_commons/monarch/loinc2pr.sssom.tsv
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id: wikidata:Q34645736
# author_id: orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
loinc:LP6118-6	Albumin	skos:exactMatch	PR:000003918	albumin	semapv:ManualMappingCuration	
loinc:LP31978-7	Albumin	skos:exactMatch	PR:000003918	albumin	semapv:ManualMappingCuration	
loinc:LP15033-1	Lactate dehydrogenase	skos:exactMatch	PR:000050331	lactate dehydrogenase complex	semapv:ManualMappingCuration	
loinc:LP32142-9	Protein	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP15694-0	Lactoferrin	skos:exactMatch	PR:000009978	lactoferrin	semapv:ManualMappingCuration	
loinc:LP14697-4	Thyroglobulin	skos:exactMatch	PR:000016283	thyroglobulin	semapv:ManualMappingCuration	
loinc:LP306738-8	protein^1st specimen post dose sincalide	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307536-5	protein^1st tube	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307537-3	protein^2nd specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP306739-6	protein^2nd specimen post dose sincalide	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307538-1	protein^2nd tube	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307539-9	protein^3rd specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP306740-4	protein^3rd specimen post dose sincalide	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307540-7	protein^3rd tube	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307541-5	protein^4th specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP306741-2	protein^4th specimen post dose sincalide	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307542-3	protein^4th tube	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307543-1	protein^5th specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP306742-0	protein^5th specimen post dose sincalide	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307544-9	protein^6th specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
loinc:LP307545-6	protein^7th specimen	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
