subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	confidence	mapping_tool	license	mapping_set_title	mapping_set_version	mapping_set_id
MESH:C108192	aloxistatin	skos:exactMatch		CHEBI:101381	aloxistatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000001	Calcimycin	skos:exactMatch		CHEBI:3305	Calcimycin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000002	Temefos	skos:exactMatch		CHEBI:38954	temephos	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000019	Abortifacient Agents	skos:exactMatch		CHEBI:50691	abortifacient	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068180	Aripiprazole	skos:exactMatch		CHEBI:31236	aripiprazole	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068296	Risedronic Acid	skos:exactMatch		CHEBI:8869	Risedronic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068298	Fluticasone	skos:exactMatch		CHEBI:5134	fluticasone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068299	Salmeterol Xinafoate	skos:exactMatch		CHEBI:9012	Salmeterol xinafoate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068338	Everolimus	skos:exactMatch		CHEBI:68478	everolimus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068438	Brimonidine Tartrate	skos:exactMatch		CHEBI:51157	brimonidine tartrate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068538	Dutasteride	skos:exactMatch		CHEBI:521033	dutasteride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068557	Olmesartan Medoxomil	skos:exactMatch		CHEBI:31932	Olmesartan medoxomil	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068576	Interferon beta-1b	skos:exactMatch		CHEBI:5938	Interferon beta-1b	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068577	Nebivolol	skos:exactMatch		CHEBI:64022	nebivolol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068579	Celecoxib	skos:exactMatch		CHEBI:41423	celecoxib	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068580	Varenicline	skos:exactMatch		CHEBI:84500	varenicline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068581	Tadalafil	skos:exactMatch		CHEBI:71940	tadalafil	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068582	Certolizumab Pegol	skos:exactMatch		CHEBI:63585	certolizumab pegol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068677	Sildenafil Citrate	skos:exactMatch		CHEBI:58987	sildenafil citrate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068679	Emtricitabine	skos:exactMatch		CHEBI:31536	emtricitabine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068696	Rilpivirine	skos:exactMatch		CHEBI:68606	rilpivirine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068718	Rosuvastatin Calcium	skos:exactMatch		CHEBI:77249	rosuvastatin calcium	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068737	Tolterodine Tartrate	skos:exactMatch		CHEBI:32245	tolterodine tartrate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068756	Valsartan	skos:exactMatch		CHEBI:9927	valsartan	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068759	Formoterol Fumarate	skos:exactMatch		CHEBI:31633	formoterol fumarate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068796	Orexin Receptor Antagonists	skos:exactMatch		CHEBI:83296	orexin receptor antagonist	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
