subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	mapping_tool
MESH:C067604	Visnadin	skos:exactMatch	CHEBI:10001	visnadin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C044999	visnagin	skos:exactMatch	CHEBI:10002	visnagin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C005891	Voacamine	skos:exactMatch	CHEBI:10014	voacamine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C018416	Vulgaxanthin-I	skos:exactMatch	CHEBI:10025	vulgaxanthin-I	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C062554	WIN54954	skos:exactMatch	CHEBI:10029	Win 54954	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C037080	Warburganal	skos:exactMatch	CHEBI:10032	warburganal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C568582	Withasomnine	skos:exactMatch	CHEBI:10042	withasomnine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C031409	Wuweizisu C	skos:exactMatch	CHEBI:10044	schizandrin C	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C075257	xanomeline	skos:exactMatch	CHEBI:10056	xanomeline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C022186	Xanthatin	skos:exactMatch	CHEBI:10058	xanthatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C064382	Xanthoxylin	skos:exactMatch	CHEBI:10070	xanthoxyline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C022185	Xanthumin	skos:exactMatch	CHEBI:10071	xanthumin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C028330	xanthurenic acid	skos:exactMatch	CHEBI:10072	xanthurenic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C020814	Xanthyletin	skos:exactMatch	CHEBI:10073	xanthyletine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C009695	Xylometazoline	skos:exactMatch	CHEBI:10082	xylometazoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C062700	Xylopine	skos:exactMatch	CHEBI:10083	xylopine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C453820	Xylopinine	skos:exactMatch	CHEBI:10084	xylopinine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C514916	Yamogenin	skos:exactMatch	CHEBI:10086	yamogenin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C110481	Yangonin	skos:exactMatch	CHEBI:10089	yangonin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C062735	zafirlukast	skos:exactMatch	CHEBI:10100	zafirlukast	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C085665	zaleplon	skos:exactMatch	CHEBI:10102	zaleplon	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C105726	Ro 48-8071	skos:exactMatch	CHEBI:101064	Ro 48-8071	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C010647	Zexbrevin B	skos:exactMatch	CHEBI:10109	zexbrevin B	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C063449	zileuton	skos:exactMatch	CHEBI:10112	zileuton	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C477983	zingiberene	skos:exactMatch	CHEBI:10115	zingiberene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C504969	Zinnimidine	skos:exactMatch	CHEBI:10116	zinnimidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C051798	Zinniol	skos:exactMatch	CHEBI:10117	zinniol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C025127	Ziziphin	skos:exactMatch	CHEBI:10120	ziziphin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C432974	Zizyphine A	skos:exactMatch	CHEBI:10121	zizyphine A	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C442248	Zoapatanol	skos:exactMatch	CHEBI:10123	zoapatanol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C089750	zolmitriptan	skos:exactMatch	CHEBI:10124	zolmitriptan	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C547856	GGTI-2133	skos:exactMatch	CHEBI:101279	GGTI-2133	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C048256	Zwittergent 3-14	skos:exactMatch	CHEBI:10129	zwittergent 3-14	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C007845	gingerol	skos:exactMatch	CHEBI:10136	gingerol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C033854	2-Aminoadenosine	skos:exactMatch	CHEBI:1014	2-aminoadenosine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C406527	talarozole	skos:exactMatch	CHEBI:101854	R 115866	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C026411	sorbinil	skos:exactMatch	CHEBI:102029	sorbinil	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000654244	alpha-amyrin	skos:exactMatch	CHEBI:10213	alpha-amyrin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C011860	alpha-Chaconine	skos:exactMatch	CHEBI:10219	alpha-chaconine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C039857	6-azathymine	skos:exactMatch	CHEBI:102328	6-azathymine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C032996	2-Benzimidazolylguanidine	skos:exactMatch	CHEBI:1026	2-benzimidazolylguanidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C069975	alpha-Kosin	skos:exactMatch	CHEBI:10285	alpha-kosin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C031476	alpha-Methyl-m-tyrosine	skos:exactMatch	CHEBI:10303	alpha-methyl-m-tyrosine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C029350	1-naphthol	skos:exactMatch	CHEBI:10319	1-naphthol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C049798	alpha-peltatin	skos:exactMatch	CHEBI:10324	alpha-peltatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C031312	alpha-Spinasterol	skos:exactMatch	CHEBI:10333	spinasterol	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C036380	beta-amyrin	skos:exactMatch	CHEBI:10352	beta-amyrin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C040083	1-(2-methoxyphenyl)piperazine	skos:exactMatch	CHEBI:104020	1-(2-methoxyphenyl)piperazine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C035441	oleandrose	skos:exactMatch	CHEBI:10423	oleandrose	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C094850	4-phenyl-1-(4-phenylbutyl)piperidine	skos:exactMatch	CHEBI:104237	4-phenyl-1-(4-phenylbutyl)piperidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
