# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_description: "This mapping set contains mappings between LOINC parts and Uberon anatomical entities."
# mapping_set_id: http://w3id.org/mapping_commons/monarch/loinc2uberon.sssom.tsv
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id: wikidata:Q34645736
# author_id: orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
loinc:LP7567-3	Serum	skos:broadMatch	UBERON:0001977	blood serum	semapv:ManualMappingCuration	
loinc:LP30270-0	Ser^Donor	skos:exactMatch	UBERON:0001977	blood serum	semapv:ManualMappingCuration	
loinc:LP7576-4	Ser/Plas	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP35604-5	serum^control	skos:exactMatch	UBERON:0001977	serum	semapv:ManualMappingCuration	
loinc:LP262388-4	serum^fetus	skos:broadMatch	UBERON:0001977	serum	semapv:ManualMappingCuration	
loinc:LP30268-4	Serum or Plasma^BPU	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP187191-4	Blood or Tissue^Donor	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP7494-0	Platelet poor plasma	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP30269-2	Serum or Plasma^Donor	skos:relatedMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP7681-2	Urine	skos:exactMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
loinc:LP7690-3	Urine sediment	skos:relatedMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
loinc:LP281836-9	Urine^Fetus	skos:exactMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
loinc:LP7057-5	Bld	skos:exactMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP21304-8	Bld.dot	skos:exactMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP183539-8	Positive blood culture	skos:relatedMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP31684-1	blood capillary^fetus	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP29829-6	blood^bpu	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP29294-3	blood^control	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP29830-4	blood^donor	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP281790-8	blood^patient	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
loinc:LP7156-5	CSF	skos:exactMatch	UBERON:0001359	cerebrospinal fluid	semapv:ManualMappingCuration	
loinc:LP7238-1	Body fld	skos:exactMatch	UBERON:0006314	bodily fluid	semapv:ManualMappingCuration	
loinc:LP7641-6	Tiss	skos:exactMatch	UBERON:0000479	tissue	semapv:ManualMappingCuration	
loinc:LP7479-1	Plas	skos:exactMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
loinc:LP7604-4	Stool	skos:exactMatch	UBERON:0001988	feces	semapv:ManualMappingCuration	
loinc:LP7565-7	Saliva	skos:exactMatch	UBERON:0001836	saliva	semapv:ManualMappingCuration	
