# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   SCTID: http://purl.obolibrary.org/obo/SCTID_
#   MONARCHPROP: https://data.monarchinitiative.org/property/
#   biolink: http://w3id.org/biolink/vocab/
# comment: Work in progress (Updated 2025-02-18). This is the beginning of a mapping file between HPO and SNOMED-CT.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_id: http://w3id.org/sssom/commons/monarch/hpo-snomed.sssom.tsv
# see_also: https://www.snomed.org/news/snomed-and-the-monarch-initiative-collaborate-to-develop-two-way-maps-for-hpo
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	ext_custom_predicate_id	mapping_justification	ext_comment_tg	ext_comment_sm
HP:0000003	Multicystic kidney dysplasia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:737562008	Multicystic renal dysplasia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000011	Neurogenic bladder	biolink:PhenotypicFeature	skos:exactMatch	SCTID:398064005	Neurogenic bladder (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000012	Urinary urgency	biolink:PhenotypicFeature	skos:exactMatch	SCTID:75088002	Urgent desire to urinate (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000013	Hypoplasia of the uterus	biolink:PhenotypicFeature	skos:exactMatch	SCTID:35850006	Infantile uterus (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000016	Urinary retention	biolink:PhenotypicFeature	skos:exactMatch	SCTID:267064002	Retention of urine (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000017	Nocturia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:139394000	Nocturia (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000019	Urinary hesitancy	biolink:PhenotypicFeature	skos:exactMatch	SCTID:5972002	Delay when starting to pass urine (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000021	Megacystis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:93052002	Congenital dilatation of bladder (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000023	Inguinal hernia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:396232000	Inguinal hernia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000024	Prostatitis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:9713002	Prostatitis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000026	Male hypogonadism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:48723006	Male hypogonadism (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000029	Testicular atrophy	biolink:PhenotypicFeature	skos:exactMatch	SCTID:17585008	Atrophy of testis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000030	Testicular gonadoblastoma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:1162859004	Gonadoblastoma of testis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000031	Epididymitis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:31070006	Epididymitis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000033	Ambiguous genitalia, male	biolink:PhenotypicFeature	skos:broadMatch	SCTID:21321009	Ambiguous genitalia (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000039	Epispadias	biolink:PhenotypicFeature	skos:exactMatch	SCTID:406476007	Epispadias (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000040	Long penis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:88673001	Large penis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration	SNOMED has 'Small penis' as child of SCTID:366285002 | Finding of size of penis (finding), but not 'Large penis'	
HP:0000041	Chordee	biolink:PhenotypicFeature	skos:exactMatch	SCTID:4287008	Chordee (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000042	Absent external genitalia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:204821009	Congenital malformation of genital organs (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000044	Hypogonadotropic hypogonadism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:33927004	Hypogonadotropic hypogonadism (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000046	Small scrotum	biolink:PhenotypicFeature	skos:exactMatch	SCTID:276332008	Small scrotum (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
