# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   LOINC: http://loinc.org/rdf/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_description: "This mapping set contains mappings between LOINC parts and Uberon anatomical entities. Predicate revisions on qualified parts, and the derived unqualified rows, were produced by an LLM agent (semapv:AgentBasedMatching); the underlying subject-object mappings remain the original manual curation."
# mapping_set_id: http://w3id.org/sssom/commons/monarch/mappings/loincpart2uberon.sssom.tsv
# mapping_tool: https://claude.com/claude-code
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id:
#   - wikidata:Q34645736
#   - orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
LOINC:LP7567-3	Serum	skos:broadMatch	UBERON:0001977	blood serum	semapv:ManualMappingCuration	
LOINC:LP30270-0	Ser^Donor	skos:exactMatch	UBERON:0001977	blood serum	semapv:ManualMappingCuration	
LOINC:LP7576-4	Ser/Plas	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
LOINC:LP35604-5	serum^control	skos:exactMatch	UBERON:0001977	serum	semapv:ManualMappingCuration	
LOINC:LP262388-4	serum^fetus	skos:broadMatch	UBERON:0001977	serum	semapv:ManualMappingCuration	
LOINC:LP30268-4	Serum or Plasma^BPU	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
LOINC:LP187191-4	Blood or Tissue^Donor	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
LOINC:LP7494-0	Platelet poor plasma	skos:broadMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
LOINC:LP30269-2	Serum or Plasma^Donor	skos:relatedMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
LOINC:LP7681-2	Urine	skos:exactMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
LOINC:LP7690-3	Urine sediment	skos:relatedMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
LOINC:LP281836-9	Urine^Fetus	skos:exactMatch	UBERON:0001088	urine	semapv:ManualMappingCuration	
LOINC:LP7057-5	Bld	skos:exactMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP21304-8	Bld.dot	skos:exactMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP183539-8	Positive blood culture	skos:relatedMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP31684-1	blood capillary^fetus	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP29829-6	blood^bpu	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP29294-3	blood^control	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP29830-4	blood^donor	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP281790-8	blood^patient	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP7156-5	CSF	skos:exactMatch	UBERON:0001359	cerebrospinal fluid	semapv:ManualMappingCuration	
LOINC:LP7238-1	Body fld	skos:exactMatch	UBERON:0006314	bodily fluid	semapv:ManualMappingCuration	
LOINC:LP7641-6	Tiss	skos:exactMatch	UBERON:0000479	tissue	semapv:ManualMappingCuration	
LOINC:LP7479-1	Plas	skos:exactMatch	UBERON:0001969	blood plasma	semapv:ManualMappingCuration	
