# curie_map:
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   CL: http://purl.obolibrary.org/obo/CL_
#   GO: http://purl.obolibrary.org/obo/GO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   NBO: http://purl.obolibrary.org/obo/NBO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   PR: http://purl.obolibrary.org/obo/PR_
#   RO: http://purl.obolibrary.org/obo/RO_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   obo: http://purl.obolibrary.org/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/67df215d-fffd-4d37-b42f-268fa6cea80c
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
NCIT:C100945	Pulse Pressure	skos:exactMatch	HP:0030850	Abnormal pulse pressure	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pulse pressure		semapv:RegularExpressionReplacement
NCIT:C101025	Duodenal Atresia	skos:exactMatch	HP:0002247	Duodenal atresia	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	duodenal atresia		
NCIT:C101026	Ileal Atresia	skos:exactMatch	HP:0011102	Ileal atresia	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	ileal atresia		
NCIT:C101027	Jejunal Atresia	skos:exactMatch	HP:0005235	Jejunal atresia	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	jejunal atresia		
NCIT:C101040	Total Colonic Aganglionosis	skos:exactMatch	HP:0011286	Total colonic aganglionosis	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	total colonic aganglionosis		
NCIT:C101044	Spina Bifida Occulta	skos:exactMatch	HP:0003298	Spina bifida occulta	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	spina bifida occulta		
NCIT:C101050	Aortopulmonary Window	skos:exactMatch	HP:0011604	Aortopulmonary window	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	aortopulmonary window		
NCIT:C101074	Total Intestinal Aganglionosis	skos:exactMatch	HP:0005241	Total intestinal aganglionosis	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	total intestinal aganglionosis		
NCIT:C101178	Radiating Pain	skos:exactMatch	HP:6000684	Radiating pain	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	radiating pain		
NCIT:C101189	Bilateral Microphthalmos	skos:exactMatch	HP:0007633	Bilateral microphthalmos	semapv:MappingInversion	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bilateral microphthalmos		
