# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
# mapping_set_id: http://w3id.org/sssom/mappings/c460f0e0-d1f0-4135-af26-ff0a44c8fdc8
subject_id	predicate_id	object_id	match_type
ICD10CM:A00	skos:exactMatch	MONDO:0015766	Unspecified
ICD10CM:A00-A09	skos:exactMatch	MONDO:0000916	Unspecified
ICD10CM:A03	skos:exactMatch	MONDO:0019345	Unspecified
ICD10CM:A07.0	skos:exactMatch	MONDO:0005662	Unspecified
ICD10CM:A07.2	skos:exactMatch	MONDO:0015474	Unspecified
ICD10CM:A07.3	skos:exactMatch	MONDO:0018769	Unspecified
ICD10CM:A07.4	skos:exactMatch	MONDO:0005725	Unspecified
ICD10CM:A15-A19	skos:exactMatch	MONDO:0018076	Unspecified
ICD10CM:A15.6	skos:exactMatch	MONDO:0005922	Unspecified
ICD10CM:A18.31	skos:exactMatch	MONDO:0006000	Unspecified
ICD10CM:A19	skos:exactMatch	MONDO:0005848	Unspecified
ICD10CM:A20	skos:exactMatch	MONDO:0019095	Unspecified
ICD10CM:A20.0	skos:exactMatch	MONDO:0001112	Unspecified
ICD10CM:A20.2	skos:exactMatch	MONDO:0001024	Unspecified
ICD10CM:A20.7	skos:exactMatch	MONDO:0005956	Unspecified
ICD10CM:A21	skos:exactMatch	MONDO:0018077	Unspecified
ICD10CM:A21.0	skos:exactMatch	MONDO:0001413	Unspecified
ICD10CM:A21.1	skos:exactMatch	MONDO:0001665	Unspecified
ICD10CM:A21.3	skos:exactMatch	MONDO:0001916	Unspecified
ICD10CM:A22.0	skos:exactMatch	MONDO:0004215	Unspecified
ICD10CM:A22.2	skos:exactMatch	MONDO:0001701	Unspecified
ICD10CM:A23	skos:exactMatch	MONDO:0005683	Unspecified
ICD10CM:A24.0	skos:exactMatch	MONDO:0005774	Unspecified
ICD10CM:A26	skos:exactMatch	MONDO:0000237	Unspecified
ICD10CM:A27	skos:exactMatch	MONDO:0005825	Unspecified
ICD10CM:A28.0	skos:exactMatch	MONDO:0005901	Unspecified
ICD10CM:A28.1	skos:exactMatch	MONDO:0005692	Unspecified
ICD10CM:A30	skos:exactMatch	MONDO:0005124	Unspecified
ICD10CM:A30.0	skos:exactMatch	MONDO:0001391	Unspecified
ICD10CM:A30.1	skos:exactMatch	MONDO:0005126	Unspecified
ICD10CM:A30.3	skos:exactMatch	MONDO:0005125	Unspecified
ICD10CM:A30.5	skos:exactMatch	MONDO:0005127	Unspecified
ICD10CM:A32	skos:exactMatch	MONDO:0005828	Unspecified
ICD10CM:A33	skos:exactMatch	MONDO:0001737	Unspecified
ICD10CM:A36	skos:exactMatch	MONDO:0005504	Unspecified
ICD10CM:A36.3	skos:exactMatch	MONDO:0001479	Unspecified
ICD10CM:A36.85	skos:exactMatch	MONDO:0001681	Unspecified
ICD10CM:A37.1	skos:exactMatch	MONDO:0001353	Unspecified
ICD10CM:A38	skos:exactMatch	MONDO:0005952	Unspecified
ICD10CM:A39	skos:exactMatch	MONDO:0005373	Unspecified
ICD10CM:A39.0	skos:exactMatch	MONDO:0018059	Unspecified
ICD10CM:A39.1	skos:exactMatch	MONDO:0006015	Unspecified
ICD10CM:A42.2	skos:exactMatch	MONDO:0005699	Unspecified
ICD10CM:A43	skos:exactMatch	MONDO:0017776	Unspecified
ICD10CM:A44	skos:exactMatch	MONDO:0005664	Unspecified
ICD10CM:A46	skos:exactMatch	MONDO:0001266	Unspecified
ICD10CM:A48.0	skos:exactMatch	MONDO:0005767	Unspecified
ICD10CM:A48.3	skos:exactMatch	MONDO:0001881	Unspecified
ICD10CM:A48.51	skos:exactMatch	MONDO:0015804	Unspecified
ICD10CM:A48.52	skos:exactMatch	MONDO:0015803	Unspecified
ICD10CM:A50	skos:exactMatch	MONDO:0005714	Unspecified
ICD10CM:A50-A64	skos:exactMatch	MONDO:0021681	Unspecified
