# curie_map:
#   APO: http://purl.obolibrary.org/obo/APO_
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   FBcv: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PHIPO: http://purl.obolibrary.org/obo/PHIPO_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   obo: http://purl.obolibrary.org/obo/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_description: A manual matching pipeline maintained by the Monarch Initiative.
# mapping_set_id: http://w3id.org/sssom/commons/monarch/upheno-lexical-oak.sssom.tsv
# object_source: obo:mp
# subject_source: obo:hp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source
APO:0000045	sterile (APO)	skos:exactMatch	FBcv:0000364	sterile (DPO)	semapv:LexicalMatching	obo:apo	obo:fbcv
APO:0000045	sterile (APO)	skos:exactMatch	MP:0001924	infertility (MPO)	semapv:LexicalMatching	obo:apo	obo:mp
APO:0000080	stress resistance (APO)	skos:exactMatch	FYPO:0002046	resistance to stress (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000082	osmotic stress resistance (APO)	skos:exactMatch	FYPO:0000851	resistance to osmotic stress (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000083	oxidative stress resistance (APO)	skos:exactMatch	FYPO:0007161	resistance to oxidative stress (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000097	auxotrophy (APO)	skos:exactMatch	FYPO:0000128	auxotrophy (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000152	haploinsufficient (APO)	skos:exactMatch	FYPO:0000340	haploinsufficient (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000276	prion formation (APO)	skos:exactMatch	FYPO:0005977	prion formation (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000314	cell lysis (APO)	skos:exactMatch	PHIPO:0000936	cell lysis (PHIPO)	semapv:LexicalMatching	obo:apo	obo:phipo
APO:0000330	haploproficient (APO)	skos:exactMatch	FYPO:0002334	haploproficient (FYPO)	semapv:LexicalMatching	obo:apo	obo:fypo
APO:0000336	aneuploidy (APO)	skos:exactMatch	MP:0004024	aneuploidy (MPO)	semapv:LexicalMatching	obo:apo	obo:mp
APO:0000337	polyploidy (APO)	skos:exactMatch	MP:0004025	polyploidy (MPO)	semapv:LexicalMatching	obo:apo	obo:mp
DDPHENO:0000005	aberrant autophagy (DDPHENO)	skos:exactMatch	MP:0008260	abnormal autophagy (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000006	increased autophagy (DDPHENO)	skos:exactMatch	MP:0030941	enhanced autophagy (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000007	decreased autophagy (DDPHENO)	skos:exactMatch	MP:0030940	impaired autophagy (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000032	increased sporulation (DDPHENO)	skos:exactMatch	FYPO:0000588	increased sporulation frequency (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000039	aberrant plasma membrane organization (DDPHENO)	skos:exactMatch	FYPO:0000813	abnormal plasma membrane organization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000090	aberrant endocytosis (DDPHENO)	skos:exactMatch	PHIPO:0000261	abnormal endocytosis (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000104	aberrant protein localization to nucleolus (DDPHENO)	skos:exactMatch	FYPO:0003687	abnormal protein localization to nucleolus (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000105	abolished protein localization to nucleolus (DDPHENO)	skos:exactMatch	FYPO:0003688	abolished protein localization to nucleolus (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000107	increased protein localization to nucleolus (DDPHENO)	skos:exactMatch	FYPO:0004356	increased protein localization to nucleolus (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000109	increased cell-cell adhesion (DDPHENO)	skos:exactMatch	FYPO:0005760	increased cell-cell adhesion (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000137	decreased actin filament bundle assembly (DDPHENO)	skos:exactMatch	FYPO:0005980	decreased actin filament bundle assembly (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000142	wild type (DDPHENO)	skos:exactMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000149	aberrant cytokinesis (DDPHENO)	skos:exactMatch	FYPO:0000032	abnormal cytokinesis (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000149	aberrant cytokinesis (DDPHENO)	skos:exactMatch	FBcv:0000433	abnormal cytokinesis (DPO)	semapv:LexicalMatching	obo:ddpheno	obo:fbcv
DDPHENO:0000162	delayed development (DDPHENO)	skos:exactMatch	HP:0001263	Global developmental delay (HPO)	semapv:LexicalMatching	obo:ddpheno	obo:hp
DDPHENO:0000163	aberrant spore morphology (DDPHENO)	skos:exactMatch	FYPO:0000348	abnormal spore morphology (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000171	increased growth rate (DDPHENO)	skos:exactMatch	MP:0002865	increased growth rate (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	HP:0100807	Long fingers (HPO)	semapv:LexicalMatching	obo:ddpheno	obo:hp
DDPHENO:0000208	decreased standing slug width (DDPHENO)	skos:exactMatch	HP:0001238	Slender finger (HPO)	semapv:LexicalMatching	obo:ddpheno	obo:hp
DDPHENO:0000211	aberrant cellular response to nitrogen starvation (DDPHENO)	skos:exactMatch	FYPO:0000152	abnormal cellular response to nitrogen starvation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000212	aberrant macroautophagy (DDPHENO)	skos:exactMatch	FYPO:0000163	abnormal macroautophagy (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000213	increased cell-substrate adhesion (DDPHENO)	skos:exactMatch	FYPO:0001403	increased cell-substrate adhesion (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000216	aberrant spore coat morphology (DDPHENO)	skos:exactMatch	FYPO:0003138	abnormal ascospore wall morphology (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000222	aberrant phototaxis (DDPHENO)	skos:exactMatch	FBcv:0000413	abnormal phototaxis (DPO)	semapv:LexicalMatching	obo:ddpheno	obo:fbcv
DDPHENO:0000222	aberrant phototaxis (DDPHENO)	skos:exactMatch	WBPhenotype:0001787	phototaxis defective (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0000223	aberrant thermotaxis (DDPHENO)	skos:exactMatch	WBPhenotype:0002513	thermotaxis variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0000230	aberrant endosome morphology (DDPHENO)	skos:exactMatch	WBPhenotype:0002090	endosome morphology variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0000231	increased cell death (DDPHENO)	skos:exactMatch	FBcv:0000425	increased cell death (DPO)	semapv:LexicalMatching	obo:ddpheno	obo:fbcv
DDPHENO:0000232	decreased spore germination (DDPHENO)	skos:exactMatch	FYPO:0000581	decreased spore germination frequency (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000234	aberrant mitosis (DDPHENO)	skos:exactMatch	WBPhenotype:0001743	mitosis variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0000234	aberrant mitosis (DDPHENO)	skos:exactMatch	FYPO:0000337	abnormal mitosis (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000236	aberrant cell morphology (DDPHENO)	skos:exactMatch	XPO:0101636	abnormal cell morphology (XPO)	semapv:LexicalMatching	obo:ddpheno	obo:xpo
DDPHENO:0000237	decreased cell death (DDPHENO)	skos:exactMatch	FBcv:0000426	decreased cell death (DPO)	semapv:LexicalMatching	obo:ddpheno	obo:fbcv
DDPHENO:0000242	aberrant DNA repair (DDPHENO)	skos:exactMatch	MP:0008058	abnormal DNA repair (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000244	aberrant double-strand break repair (DDPHENO)	skos:exactMatch	MP:0010948	abnormal double-strand DNA break repair (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000263	aberrant nucleus morphology (DDPHENO)	skos:exactMatch	FYPO:0002256	abnormal nuclear morphology (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000263	aberrant nucleus morphology (DDPHENO)	skos:exactMatch	XPO:0102526	abnormal nucleus morphology (XPO)	semapv:LexicalMatching	obo:ddpheno	obo:xpo
DDPHENO:0000264	aberrant cell motility (DDPHENO)	skos:exactMatch	MP:0020846	abnormal cell motility (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000294	aberrant protein binding (DDPHENO)	skos:exactMatch	PHIPO:0000133	abnormal protein-protein interaction (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000294	aberrant protein binding (DDPHENO)	skos:exactMatch	FYPO:0000704	abnormal protein-protein interaction (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000295	abolished protein binding (DDPHENO)	skos:exactMatch	PHIPO:0000135	abolished protein-protein interaction (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000296	decreased protein binding (DDPHENO)	skos:exactMatch	PHIPO:0000136	decreased protein-protein interaction (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000298	aberrant lipid binding (DDPHENO)	skos:exactMatch	FYPO:0007250	abnormal lipid binding (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000300	decreased gene expression (DDPHENO)	skos:exactMatch	FYPO:0006549	decreased gene expression (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000301	increased gene expression (DDPHENO)	skos:exactMatch	FYPO:0006548	increased gene expression (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000325	decreased lipid binding (DDPHENO)	skos:exactMatch	FYPO:0007251	decreased lipid binding (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000326	abolished lipid binding (DDPHENO)	skos:exactMatch	FYPO:0006937	abolished lipid binding (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
